run_id,timestamp,algorithm,workload,application_case,thread_count,write_ratio,duration_sec,matrix,appendix_only,appendix_reason,access_pattern,hot_access_probability,hot_refresh_interval,arbitration_mode,hot_shards,sold_counter_mode,adaptive_routing_enabled,routing_margin_us,cost_window_ms,min_samples_before_adapt,adaptive_object_scope,attempted_tx,committed_tx,aborted_tx,business_abort_tx,retry_count,lock_fail_count,validation_fail_count,abort_rate,retry_per_commit,committed_tx_per_sec,latency_us_p50,latency_us_p95,latency_us_p99,tx_latency_us_p50,tx_latency_us_p95,tx_latency_us_p99,tx_latency_us_max,committed_tx_latency_us_p50,committed_tx_latency_us_p95,committed_tx_latency_us_p99,abort_tx_latency_us_p50,abort_tx_latency_us_p95,abort_tx_latency_us_p99,cold_occ_latency_us_p50,cold_occ_latency_us_p95,cold_occ_latency_us_p99,hot_arbitration_latency_us_p50,hot_arbitration_latency_us_p95,hot_arbitration_latency_us_p99,retry_count_p50,retry_count_p95,retry_count_p99,latency_sample_count,latency_sampling_mode,latency_sample_size,hot_object_count,hot_path_candidate_tx,hot_path_tx,cold_path_tx,server_arbitrated_tx,hot_path_ratio,server_queue_wait_us_p50,server_queue_wait_us_p95,server_queue_wait_us_p99,queue_wait_us_p50,queue_wait_us_p95,queue_wait_us_p99,server_queue_wait_us_max,queue_length_p50,queue_length_p95,queue_length_p99,service_time_us_p50,service_time_us_p95,service_time_us_p99,service_time_us_max,hot_cold_interference_count,adaptive_route_to_occ_count,adaptive_route_to_arbitration_count,adaptive_route_to_occ_ratio,adaptive_route_to_arbitration_ratio,adaptive_insufficient_samples_count,adaptive_bad_route_proxy_count,estimated_occ_cost_us_p50,estimated_occ_cost_us_p95,estimated_occ_cost_us_p99,estimated_arbitration_cost_us_p50,estimated_arbitration_cost_us_p95,estimated_arbitration_cost_us_p99,routing_decision_latency_us_p50,routing_decision_latency_us_p95,routing_decision_latency_us_p99,oscillation_count,invariant_violation_count,duplicate_commit_count,final_stock,sold_count,initial_stock,context_switches,cpu_migrations,page_faults,elapsed_time_sec,user_time_sec,sys_time_sec
001_final_baseline_occ_low_uniform_read95_t1_rep1,2026-05-28T12:03:19Z,baseline_occ,low_uniform_read95,flash_sale,1,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11595710,11595710,0,0,0,0,0,0.0,0.0,1159571.0,0.4,0.6,0.81,0.0,2.0,2.0,180.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11595710,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639421851,578149,640000000,251.0,,2611.0,10.0,9.28,0.65
002_final_baseline_occ_low_uniform_read95_t1_rep2,2026-05-28T12:03:29Z,baseline_occ,low_uniform_read95,flash_sale,1,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11953795,11953795,0,0,0,0,0,0.0,0.0,1195379.5,0.39,0.58,0.78,0.0,2.0,2.0,81.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11953795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639403864,596136,640000000,48.0,,2614.0,10.01,9.75,0.25
003_final_baseline_occ_low_uniform_read95_t1_rep3,2026-05-28T12:03:39Z,baseline_occ,low_uniform_read95,flash_sale,1,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11503346,11503346,0,0,0,0,0,0.0,0.0,1150334.6,0.41,0.61,0.81,0.0,2.0,2.0,306.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11503346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639426457,573543,640000000,110.0,,2610.0,10.01,9.89,0.09
004_final_baseline_occ_low_uniform_read95_t2_rep1,2026-05-28T12:03:50Z,baseline_occ,low_uniform_read95,flash_sale,2,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11194322,11192266,2056,0,2056,0,2056,0.0,0.0,1119226.6,0.91,1.36,1.81,0.0,2.0,4.0,1143.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11192266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639441168,558832,640000000,17412.0,,2619.0,10.01,11.4,4.93
005_final_baseline_occ_low_uniform_read95_t2_rep2,2026-05-28T12:04:00Z,baseline_occ,low_uniform_read95,flash_sale,2,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11316938,11315047,1891,0,1891,0,1891,0.0,0.0,1131504.7,0.91,1.37,1.82,0.0,2.0,3.0,2232.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11315047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639435002,564998,640000000,16952.0,,2617.0,10.01,11.76,4.59
006_final_baseline_occ_low_uniform_read95_t2_rep3,2026-05-28T12:04:10Z,baseline_occ,low_uniform_read95,flash_sale,2,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11428927,11426925,2002,0,2002,0,2002,0.0,0.0,1142692.5,0.9,1.34,1.79,0.0,2.0,3.0,1278.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11426925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639429757,570243,640000000,17300.0,,2601.0,10.01,11.43,5.0
007_final_baseline_occ_low_uniform_read95_t4_rep1,2026-05-28T12:04:20Z,baseline_occ,low_uniform_read95,flash_sale,4,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,10049133,10045192,3941,0,3941,0,3941,0.0,0.0,1004519.2,2.58,3.88,5.17,0.0,2.0,4.0,1903.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,10045192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639498361,501639,640000000,52082.0,,2632.0,10.01,13.3,7.65
008_final_baseline_occ_low_uniform_read95_t4_rep2,2026-05-28T12:04:30Z,baseline_occ,low_uniform_read95,flash_sale,4,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,9520992,9517545,3447,0,3447,0,3447,0.0,0.0,951754.5,2.74,4.11,5.47,0.0,2.0,5.0,2560.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,9517545,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639524403,475597,640000000,50687.0,,2636.0,10.01,12.26,7.77
009_final_baseline_occ_low_uniform_read95_t4_rep3,2026-05-28T12:04:40Z,baseline_occ,low_uniform_read95,flash_sale,4,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,10187851,10183878,3973,0,3973,0,3973,0.0,0.0,1018387.8,2.53,3.8,5.06,0.0,2.0,4.0,4321.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,10183878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639491477,508523,640000000,52123.0,,2631.0,10.01,13.59,7.51
010_final_backoff_occ_low_uniform_read95_t1_rep1,2026-05-28T12:04:50Z,backoff_occ,low_uniform_read95,flash_sale,1,,10,final_focused_matrix,False,,uniform,0.0,64,global,1,per_product,False,10.0,250,100,shard,11136019,11136019,0,0,0,0,0,0.0,0.0,1113601.9,0.42,0.63,0.84,0.0,0.0,2.0,168.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,0,0,11136019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639444587,555413,640000000,126.0,,2612.0,10.03,9.94,0.06
