run_id,timestamp,algorithm,workload,application_case,thread_count,write_ratio,duration_sec,matrix,appendix_only,appendix_reason,access_pattern,hot_access_probability,hot_refresh_interval,arbitration_mode,hot_shards,sold_counter_mode,adaptive_routing_enabled,routing_margin_us,cost_window_ms,min_samples_before_adapt,adaptive_object_scope,attempted_tx,committed_tx,aborted_tx,business_abort_tx,retry_count,lock_fail_count,validation_fail_count,abort_rate,retry_per_commit,committed_tx_per_sec,latency_us_p50,latency_us_p95,latency_us_p99,tx_latency_us_p50,tx_latency_us_p95,tx_latency_us_p99,tx_latency_us_max,committed_tx_latency_us_p50,committed_tx_latency_us_p95,committed_tx_latency_us_p99,abort_tx_latency_us_p50,abort_tx_latency_us_p95,abort_tx_latency_us_p99,cold_occ_latency_us_p50,cold_occ_latency_us_p95,cold_occ_latency_us_p99,hot_arbitration_latency_us_p50,hot_arbitration_latency_us_p95,hot_arbitration_latency_us_p99,retry_count_p50,retry_count_p95,retry_count_p99,latency_sample_count,latency_sampling_mode,latency_sample_size,hot_object_count,hot_path_candidate_tx,hot_path_tx,cold_path_tx,server_arbitrated_tx,hot_path_ratio,server_queue_wait_us_p50,server_queue_wait_us_p95,server_queue_wait_us_p99,queue_wait_us_p50,queue_wait_us_p95,queue_wait_us_p99,server_queue_wait_us_max,queue_length_p50,queue_length_p95,queue_length_p99,service_time_us_p50,service_time_us_p95,service_time_us_p99,service_time_us_max,hot_cold_interference_count,adaptive_route_to_occ_count,adaptive_route_to_arbitration_count,adaptive_route_to_occ_ratio,adaptive_route_to_arbitration_ratio,adaptive_insufficient_samples_count,adaptive_bad_route_proxy_count,estimated_occ_cost_us_p50,estimated_occ_cost_us_p95,estimated_occ_cost_us_p99,estimated_arbitration_cost_us_p50,estimated_arbitration_cost_us_p95,estimated_arbitration_cost_us_p99,routing_decision_latency_us_p50,routing_decision_latency_us_p95,routing_decision_latency_us_p99,oscillation_count,invariant_violation_count,duplicate_commit_count,final_stock,sold_count,initial_stock,context_switches,cpu_migrations,page_faults,elapsed_time_sec,user_time_sec,sys_time_sec
001_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep1,2026-05-28T16:54:38Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,3275949,3275004,945,0,945,0,945,0.0,0.0,327500.4,4.51,6.77,9.03,0.0,2.0,4.0,1875.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,10000,reservoir,10000,2,2828324,2828324,446680,2828324,0.86,0.0,1.0,1.0,0.0,1.0,1.0,23626.0,0.0,1.0,1.0,0.0,1.0,2.0,22642.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,638363298,1636702,640000000,30358.0,,6295.0,10.06,6.61,3.76
002_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep2,2026-05-28T16:54:48Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,3556259,3555146,1113,0,1113,0,1113,0.0,0.0,355514.6,4.16,6.25,8.33,0.0,2.0,67.0,1553.0,0.0,2.0,67.0,0.0,0.0,0.0,2.0,3.0,23.0,0.0,0.0,108.0,0.0,0.0,0.0,10000,reservoir,10000,3,3078876,3078876,476270,3078876,0.87,0.0,1.0,1.0,0.0,1.0,1.0,16819.0,0.0,1.0,1.0,0.0,1.0,2.0,8540.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,638223317,1776683,640000000,33456.0,,5850.0,10.05,7.24,3.43
003_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep3,2026-05-28T16:54:58Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,3495011,3493905,1106,0,1106,0,1106,0.0,0.0,349390.5,4.2,6.3,8.4,0.0,2.0,37.0,2963.0,0.0,2.0,37.0,0.0,0.0,0.0,1.0,3.0,39.0,0.0,0.0,35.0,0.0,0.0,0.0,10000,reservoir,10000,3,3025562,3025562,468343,3025562,0.87,0.0,1.0,1.0,0.0,1.0,1.0,19146.0,0.0,1.0,1.0,0.0,1.0,2.0,18093.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,638253808,1746192,640000000,35665.0,,6375.0,10.06,6.76,3.69
004_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t4_rep1,2026-05-28T16:55:08Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,4,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,3595675,3594725,950,0,950,0,950,0.0,0.0,359472.5,9.34,14.0,18.67,0.0,2.0,392.0,4306.0,0.0,2.0,392.0,0.0,0.0,0.0,2.0,4.0,187.0,0.0,1.0,439.0,0.0,0.0,0.0,10000,reservoir,10000,4,3122425,3122425,472300,3122425,0.87,0.0,1.0,125.0,0.0,1.0,125.0,816307.0,0.0,3.0,3.0,1.0,1.0,2.0,13728.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,638202325,1797675,640000000,35645.0,,6359.0,10.05,6.05,5.11
005_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t4_rep2,2026-05-28T16:55:18Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,4,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,4891131,4890418,713,0,713,0,713,0.0,0.0,489041.8,7.05,10.57,14.1,0.0,2.0,4.0,19231.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,10000,reservoir,10000,1,4214046,4214046,676372,4214046,0.86,0.0,1.0,1.0,0.0,1.0,1.0,891321.0,0.0,3.0,3.0,0.0,1.0,1.0,13735.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,637553032,2446968,640000000,23969.0,,6092.0,10.05,5.87,5.16
006_sold_global_hybrid_static_arbitration_occ_per_shard_8_mixed_hot4_write50_t4_rep3,2026-05-28T16:55:28Z,hybrid_static_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,4,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,False,10.0,250,100,shard,4646670,4645808,862,0,862,0,862,0.0,0.0,464580.8,7.38,11.08,14.77,0.0,2.0,426.0,4569.0,0.0,2.0,426.0,0.0,0.0,0.0,2.0,3.0,69.0,0.0,1.0,485.0,0.0,0.0,0.0,10000,reservoir,10000,0,3991412,3991412,654396,3991412,0.86,0.0,1.0,1.0,0.0,1.0,1.0,927198.0,0.0,3.0,3.0,0.0,1.0,2.0,15829.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,637675705,2324295,640000000,27867.0,,6462.0,10.05,5.58,5.56
007_sold_global_hybrid_adaptive_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep1,2026-05-28T16:55:39Z,hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,True,5.0,500,100,shard,2898640,2884452,14188,0,14188,0,14188,0.0,0.0,288445.2,2.62,3.93,5.24,1.0,2.0,55.0,8836.0,1.0,2.0,55.0,0.0,0.0,0.0,1.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,2477268,377,2884075,377,0.0,0.0,1.0,125.0,0.0,1.0,125.0,266.0,0.0,1.0,1.0,1.0,1.0,22.0,125.0,0,2884075,377,1.0,0.0,377,0,3.0,3.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,4,0,0,638558455,1441545,640000000,30450.0,,4816.0,10.06,7.61,3.67
008_sold_global_hybrid_adaptive_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep2,2026-05-28T16:55:49Z,hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,True,5.0,500,100,shard,2798213,2784027,14186,0,14186,0,14186,0.01,0.01,278402.7,2.75,4.12,5.49,1.0,2.0,82.0,2830.0,1.0,2.0,82.0,0.0,0.0,0.0,1.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,0,2391242,378,2783649,378,0.0,0.0,1.0,1.0,0.0,1.0,1.0,504.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0,2783649,378,1.0,0.0,378,0,3.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,4,0,0,638608216,1391784,640000000,29658.0,,4698.0,10.04,8.75,3.24
009_sold_global_hybrid_adaptive_arbitration_occ_per_shard_8_mixed_hot4_write50_t2_rep3,2026-05-28T16:55:59Z,hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,2,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,True,5.0,500,100,shard,2824819,2808844,15975,0,15975,0,15975,0.01,0.01,280884.4,2.71,4.06,5.41,2.0,2.0,60.0,1939.0,2.0,2.0,60.0,0.0,0.0,0.0,2.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,6,2445565,381,2808463,381,0.0,0.0,1.0,200.0,0.0,1.0,200.0,376.0,0.0,1.0,1.0,1.0,1.0,121.0,285.0,0,2808463,381,1.0,0.0,381,0,2.0,3.0,3.0,5.0,6.0,6.0,0.0,0.0,0.0,6,0,0,638595501,1404499,640000000,33880.0,,4809.0,10.04,8.18,3.53
010_sold_global_hybrid_adaptive_arbitration_occ_per_shard_8_mixed_hot4_write50_t4_rep1,2026-05-28T16:56:09Z,hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,flash_sale,4,,10,final_sold_counter_comparison,False,,uniform,0.85,64,per_shard,8,global,True,5.0,500,100,shard,2594379,2572570,21809,0,21809,0,21809,0.01,0.01,257257.0,5.42,8.13,10.84,1.0,2.0,36.0,514378.0,1.0,2.0,36.0,0.0,0.0,0.0,1.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,reservoir,10000,4,2222146,381,2572189,381,0.0,0.0,1.0,704.0,0.0,1.0,704.0,1738.0,0.0,3.0,3.0,1.0,2.0,126.0,1076.0,0,2572189,381,1.0,0.0,380,0,6.0,7.0,7.0,29.0,30.0,30.0,0.0,0.0,0.0,7,0,0,638713092,1286908,640000000,45379.0,,5151.0,10.08,6.75,6.38
