source,run_dir,json_file,success,test,payload_size_bytes,payload_size_bytes_observed,iterations,exit_code,start_time,end_time,client_hostname,server_ip,rdma_device,transport_type,connection_type,link_type,mtu,gid_index,local_gid,remote_gid,local_qpn,remote_qpn,lat_min_us,lat_max_us,lat_typical_us,lat_avg_us,lat_stdev_us,lat_p99_us,lat_p999_us,bw_peak_mb_sec,bw_avg_mb_sec,msg_rate_mpps
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s1024.json,True,ib_read_lat,1024,1024,1000,0,2026-05-27T22:54:06+00:00,2026-05-27T22:54:06+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,241.16,1008.79,318.36,336.59,49.47,537.52,1008.79,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s16384.json,True,ib_read_lat,16384,16384,1000,0,2026-05-27T22:54:58+00:00,2026-05-27T22:55:01+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,494.83,487411.31,699.25,1154.45,6904.11,5511.82,487411.31,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s256.json,True,ib_read_lat,256,256,1000,0,2026-05-27T22:53:44+00:00,2026-05-27T22:53:45+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,160.71,4723.5,280.93,303.47,65.19,581.74,4723.5,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s4096.json,True,ib_read_lat,4096,4096,1000,0,2026-05-27T22:54:30+00:00,2026-05-27T22:54:31+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,290.06,2105.28,412.16,453.04,157.94,1261.27,2105.28,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s64.json,True,ib_read_lat,64,64,1000,0,2026-05-27T22:53:21+00:00,2026-05-27T22:53:21+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,220.58,1110.0,313.41,322.26,53.24,530.63,1110.0,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s65536.json,True,ib_read_lat,65536,65536,1000,0,2026-05-27T22:55:28+00:00,2026-05-27T22:56:16+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,1548.06,1000439.48,1922.79,45565.77,167301.11,968890.08,1000439.48,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_read_lat_s8.json,True,ib_read_lat,8,8,1000,0,2026-05-27T22:52:59+00:00,2026-05-27T22:53:00+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,131.07,2169.98,281.64,297.87,66.35,547.65,2169.98,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s1024.json,True,ib_send_lat,1024,1024,1000,0,2026-05-27T22:54:10+00:00,2026-05-27T22:54:12+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,80.07,33856.4,347.82,566.86,2183.43,10529.07,33856.4,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s16384.json,True,ib_send_lat,16384,16384,1000,0,2026-05-27T22:55:05+00:00,2026-05-27T22:55:06+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,141.67,8427.76,181.46,297.69,400.67,1866.34,8427.76,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s256.json,True,ib_send_lat,256,256,1000,0,2026-05-27T22:53:48+00:00,2026-05-27T22:53:50+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,93.0,16267.43,164.34,650.33,1587.07,8475.63,16267.43,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s4096.json,True,ib_send_lat,4096,4096,1000,0,2026-05-27T22:54:35+00:00,2026-05-27T22:54:39+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,88.41,35755.72,143.5,1629.64,6447.08,35339.71,35755.72,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s64.json,True,ib_send_lat,64,64,1000,0,2026-05-27T22:53:25+00:00,2026-05-27T22:53:28+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,82.51,35563.02,161.79,1085.1,3686.96,20145.97,35563.02,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s65536.json,True,ib_send_lat,65536,65536,1000,0,2026-05-27T22:56:20+00:00,2026-05-27T22:56:23+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,260.06,36381.33,311.98,1349.87,4718.73,33455.3,36381.33,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_send_lat_s8.json,True,ib_send_lat,8,8,1000,0,2026-05-27T22:53:03+00:00,2026-05-27T22:53:04+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,69.85,9691.49,124.53,176.43,378.37,993.85,9691.49,,,
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s1024.json,True,ib_write_bw,1024,1024,64200,0,2026-05-27T22:54:16+00:00,2026-05-27T22:54:19+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,31.34,0.032088
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s16384.json,True,ib_write_bw,16384,16384,4694,0,2026-05-27T22:55:10+00:00,2026-05-27T22:55:13+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,36.66,0.002347
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s256.json,True,ib_write_bw,256,256,68600,0,2026-05-27T22:53:54+00:00,2026-05-27T22:53:57+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,8.37,0.034288
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s4096.json,True,ib_write_bw,4096,4096,12700,0,2026-05-27T22:54:43+00:00,2026-05-27T22:54:46+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,24.8,0.006349
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s64.json,True,ib_write_bw,64,64,64700,0,2026-05-27T22:53:32+00:00,2026-05-27T22:53:35+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,1.97,0.032342
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s65536.json,True,ib_write_bw,65536,65536,980,0,2026-05-27T22:56:27+00:00,2026-05-27T22:56:30+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,29.58,0.000473
phase3_rerun,results/phase3/two_node_soft_roce_20260527_225225,results/phase3/two_node_soft_roce_20260527_225225/client/ib_write_bw_s8.json,True,ib_write_bw,8,8,67000,0,2026-05-27T22:53:08+00:00,2026-05-27T22:53:11+00:00,node2,192.168.56.101,rxe0,IB,RC,Ethernet,1024[B],1,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:102,00:00:00:00:00:00:00:00:00:00:255:255:192:168:56:101,0011,0011,,,,,,,,0.0,0.26,0.033496
