run_id,timestamp,algorithm,workload,application_case,thread_count,write_ratio,duration_sec,matrix,access_pattern,hot_access_probability,hot_refresh_interval,arbitration_mode,hot_shards,attempted_tx,committed_tx,aborted_tx,business_abort_tx,retry_count,lock_fail_count,validation_fail_count,abort_rate,retry_per_commit,committed_tx_per_sec,latency_us_p50,latency_us_p95,latency_us_p99,hot_object_count,hot_path_candidate_tx,hot_path_tx,cold_path_tx,server_arbitrated_tx,hot_path_ratio,server_queue_wait_us_p50,server_queue_wait_us_p95,server_queue_wait_us_p99,server_queue_wait_us_max,queue_length_p50,queue_length_p95,queue_length_p99,service_time_us_p50,service_time_us_p95,service_time_us_p99,service_time_us_max,hot_cold_interference_count,invariant_violation_count,duplicate_commit_count,final_stock,sold_count,initial_stock,context_switches,cpu_migrations,page_faults,elapsed_time_sec,user_time_sec,sys_time_sec
501_phase4_hybrid_global_s1_low_uniform_read95_t8_w0p05_rep1,2026-05-28T06:55:14Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,8,0.05,1,phase4_arbitration_queue,uniform,0.0,64,global,1,2526152,2525915,237,0,237,0,237,0.0,0.0,2525915.0,2.6,3.9,5.2,3,117983,117983,2407932,117983,0.05,0.0,0.0,1.0,22674.0,0.0,7.0,7.0,0.0,1.0,1.0,2540.0,0,0,0,639873928,126072,640000000,4260.0,,2869.0,1.01,0.81,0.3
502_phase4_hybrid_global_s1_low_uniform_read95_t16_w0p05_rep1,2026-05-28T06:55:15Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,16,0.05,1,phase4_arbitration_queue,uniform,0.0,64,global,1,2219024,2218102,922,0,922,0,922,0.0,0.0,2218102.0,6.62,9.93,13.24,1,34747,34747,2183355,34747,0.02,0.0,1.0,2681.0,620664.0,15.0,15.0,15.0,0.0,1.0,106.0,7810.0,0,0,0,639889094,110906,640000000,9698.0,,1204.0,1.0,0.61,0.61
503_phase4_hybrid_per_object_s1_low_uniform_read95_t8_w0p05_rep1,2026-05-28T06:55:16Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,8,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_object,1,1458070,1454117,3953,0,3953,0,3953,0.0,0.0,1454117.0,3.06,4.59,6.12,0,0,0,1454117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639927541,72459,640000000,26319.0,,289.0,1.0,0.94,0.92
504_phase4_hybrid_per_object_s1_low_uniform_read95_t16_w0p05_rep1,2026-05-28T06:55:17Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,16,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_object,1,1455530,1453148,2382,0,2382,0,2382,0.0,0.0,1453148.0,9.29,13.94,18.58,1,22568,22568,1430580,22568,0.02,0.0,2127.0,6425.0,20176.0,11.0,15.0,15.0,0.0,84.0,330.0,1381.0,0,0,0,639927291,72709,640000000,26546.0,,860.0,1.0,0.89,0.81
505_phase4_hybrid_per_shard_s4_low_uniform_read95_t8_w0p05_rep1,2026-05-28T06:55:18Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,8,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,4,2697418,2697190,228,0,228,0,228,0.0,0.0,2697190.0,2.69,4.03,5.38,3,126245,126245,2570945,126245,0.05,0.0,1.0,1.0,741843.0,7.0,7.0,7.0,0.0,1.0,1.0,552.0,0,0,0,639865242,134758,640000000,3462.0,,3025.0,1.01,0.67,0.42
506_phase4_hybrid_per_shard_s4_low_uniform_read95_t16_w0p05_rep1,2026-05-28T06:55:20Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,16,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,4,1549846,1549171,675,0,675,0,675,0.0,0.0,1549171.0,9.43,14.15,18.86,5,121053,121053,1428118,121053,0.08,0.0,1.0,2527.0,36446.0,10.0,15.0,15.0,0.0,1.0,93.0,2521.0,0,0,0,639922591,77409,640000000,15625.0,,2996.0,1.01,0.83,0.57
507_phase4_hybrid_per_shard_s8_low_uniform_read95_t8_w0p05_rep1,2026-05-28T06:55:21Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,8,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,8,1564901,1561645,3256,0,3256,0,3256,0.0,0.0,1561645.0,2.63,3.94,5.25,0,0,0,1561645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,639922039,77961,640000000,22193.0,,287.0,1.0,0.87,0.82
508_phase4_hybrid_per_shard_s8_low_uniform_read95_t16_w0p05_rep1,2026-05-28T06:55:22Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,16,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,8,1514074,1511713,2361,0,2361,0,2361,0.0,0.0,1511713.0,8.99,13.48,17.97,1,23780,23780,1487933,23780,0.02,0.0,1981.0,6549.0,29637.0,12.0,15.0,15.0,0.0,64.0,305.0,1366.0,0,0,0,639924325,75675,640000000,26265.0,,894.0,1.0,0.89,0.82
509_phase4_hybrid_per_shard_s16_low_uniform_read95_t8_w0p05_rep1,2026-05-28T06:55:23Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,8,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,16,1323441,1321287,2154,0,2154,0,2154,0.0,0.0,1321287.0,4.69,7.04,9.39,2,41055,41055,1280232,41055,0.03,0.0,453.0,975.0,14148.0,0.0,7.0,7.0,0.0,66.0,244.0,771.0,0,0,0,639934136,65864,640000000,27097.0,,1309.0,1.0,0.85,0.93
510_phase4_hybrid_per_shard_s16_low_uniform_read95_t16_w0p05_rep1,2026-05-28T06:55:24Z,hybrid_arbitration_occ,low_uniform_read95,flash_sale,16,0.05,1,phase4_arbitration_queue,uniform,0.0,64,per_shard,16,1903676,1902043,1633,0,1633,0,1633,0.0,0.0,1902043.0,7.33,10.99,14.66,1,29795,29795,1872248,29795,0.02,0.0,1518.0,4273.0,290291.0,14.0,15.0,15.0,0.0,1.0,225.0,1234.0,0,0,0,639905006,94994,640000000,17959.0,,983.0,1.0,0.75,0.72
