workload,sold_counter_mode,arbitration_mode,hot_shards,appendix_only,runs,committed_tx_per_sec_mean,hot_path_ratio_mean,queue_wait_us_p99_mean,queue_length_p95_mean,service_time_us_p95_mean,invariant_violations,duplicate_commits
high_hot16_write100,global,global,1,False,1,889347.00,1.000,96.00,3.00,1.00,0,0
high_hot16_write100,global,global,1,True,1,1888816.00,1.000,1.00,7.00,1.00,0,0
high_hot16_write100,global,per_object,1,False,1,1804903.00,1.000,100.00,2.00,1.00,0,0
high_hot16_write100,global,per_object,1,True,1,885015.00,1.000,104.00,4.00,1.00,0,0
high_hot16_write100,global,per_shard,8,False,1,442809.00,1.000,211.00,3.00,1.00,0,0
high_hot16_write100,global,per_shard,8,True,1,1111130.00,1.000,72.00,7.00,1.00,0,0
high_hot16_write100,per_product,global,1,False,1,862209.00,1.000,99.00,3.00,1.00,0,0
high_hot16_write100,per_product,global,1,True,1,1621258.00,1.000,1.00,7.00,1.00,0,0
high_hot16_write100,per_product,per_object,1,False,1,1148439.00,1.000,91.00,1.00,1.00,0,0
high_hot16_write100,per_product,per_object,1,True,1,1353337.00,1.000,164.00,3.00,1.00,0,0
high_hot16_write100,per_product,per_shard,8,False,1,1073643.00,1.000,67.00,2.00,1.00,0,0
high_hot16_write100,per_product,per_shard,8,True,1,1657424.00,1.000,91.00,7.00,1.00,0,0
mixed_hot4_write50,global,global,1,False,1,621017.00,0.780,153.00,3.00,1.00,0,0
mixed_hot4_write50,global,global,1,True,1,1567496.00,0.770,1.00,7.00,1.00,0,0
mixed_hot4_write50,global,per_object,1,False,1,654058.00,0.800,189.00,3.00,1.00,0,0
mixed_hot4_write50,global,per_object,1,True,1,1438011.00,0.790,1.00,7.00,1.00,0,0
mixed_hot4_write50,global,per_shard,8,False,1,452871.00,0.810,219.00,3.00,1.00,0,0
mixed_hot4_write50,global,per_shard,8,True,1,1161866.00,0.770,58.00,7.00,1.00,0,0
mixed_hot4_write50,per_product,global,1,False,1,729146.00,0.760,110.00,3.00,1.00,0,0
mixed_hot4_write50,per_product,global,1,True,1,1445582.00,0.770,1.00,7.00,1.00,0,0
mixed_hot4_write50,per_product,per_object,1,False,1,898881.00,0.770,106.00,2.00,1.00,0,0
mixed_hot4_write50,per_product,per_object,1,True,1,1140781.00,0.770,108.00,7.00,1.00,0,0
mixed_hot4_write50,per_product,per_shard,8,False,1,905487.00,0.770,97.00,2.00,1.00,0,0
mixed_hot4_write50,per_product,per_shard,8,True,1,1182734.00,0.770,111.00,7.00,1.00,0,0
