routing_margin_us,cost_window_ms,workload,runs,correctness_clean,committed_tx_per_sec_mean,tx_latency_us_p99_mean,adaptive_route_to_arbitration_ratio_mean,oscillation_count_mean,adaptive_insufficient_samples_count_mean,invariant_violations,duplicate_commits
5.0,100,high_hot16_write100,2,True,243525.9,144.5,0.0006574291660316675,8.0,800.5,0.0,0.0
5.0,100,low_uniform_read95,2,True,988552.6,3.5,0.0,0.0,0.0,0.0,0.0
5.0,100,mixed_hot4_write50,2,True,349717.4,91.0,0.00021160016112843519,4.0,370.0,0.0,0.0
5.0,250,high_hot16_write100,2,True,243922.2,133.0,0.0006572108810635954,8.0,801.5,0.0,0.0
5.0,250,low_uniform_read95,2,True,1033334.5,3.0,0.0,0.0,0.0,0.0,0.0
5.0,250,mixed_hot4_write50,2,True,353181.1,93.0,0.00021093399471430578,4.0,372.5,0.0,0.0
5.0,500,high_hot16_write100,2,True,241117.5,109.0,0.0006645202512194403,8.0,801.0,0.0,0.0
5.0,500,low_uniform_read95,2,True,1034277.7,3.0,0.0,0.0,0.0,0.0,0.0
5.0,500,mixed_hot4_write50,2,True,356473.69999999995,34.5,0.00021521530087377912,4.0,383.5,0.0,0.0
10.0,100,high_hot16_write100,2,True,243054.9,135.0,0.0006591119763763976,8.0,801.0,0.0,0.0
10.0,100,low_uniform_read95,2,True,1013785.4,3.0,0.0,0.0,0.0,0.0,0.0
10.0,100,mixed_hot4_write50,2,True,356728.4,90.0,0.00020912232673500072,4.0,373.0,0.0,0.0
10.0,250,high_hot16_write100,2,True,240412.59999999998,128.5,0.0006660019211235152,8.0,800.5,0.0,0.0
10.0,250,low_uniform_read95,2,True,1047600.0,3.0,0.0,0.0,0.0,0.0,0.0
10.0,250,mixed_hot4_write50,2,True,347069.7,89.0,0.0002115022573700624,4.5,367.0,0.0,0.0
10.0,500,high_hot16_write100,2,True,236524.2,125.5,0.0006777638430533611,8.0,801.0,0.0,0.0
10.0,500,low_uniform_read95,2,True,1037222.8999999999,3.0,0.0,0.0,0.0,0.0,0.0
10.0,500,mixed_hot4_write50,2,True,352386.2,59.0,0.00021538860085754463,4.0,379.5,0.0,0.0
20.0,100,high_hot16_write100,2,True,242599.4,136.0,0.0006603609113262965,8.0,801.0,0.0,0.0
20.0,100,low_uniform_read95,2,True,1017012.7,2.5,2.031695671492689e-07,0.5,1.0,0.0,0.0
20.0,100,mixed_hot4_write50,2,True,356772.8,58.5,0.00020517629623930577,4.0,366.0,0.0,0.0
20.0,250,high_hot16_write100,2,True,242829.3,103.5,0.0006601690099638549,8.0,801.5,0.0,0.0
20.0,250,low_uniform_read95,2,True,1054268.2999999998,3.0,0.0,0.0,0.0,0.0,0.0
20.0,250,mixed_hot4_write50,2,True,347715.2,89.5,0.00021310327758017127,4.0,370.5,0.0,0.0
20.0,500,high_hot16_write100,2,True,240268.4,248.0,0.0006659424846705193,8.0,800.0,0.0,0.0
20.0,500,low_uniform_read95,2,True,1043855.3999999999,3.5,0.0,0.0,0.0,0.0,0.0
20.0,500,mixed_hot4_write50,2,True,356198.80000000005,71.5,0.0002117096201370436,4.0,377.0,0.0,0.0
