run_id,scenario,phase_index,repetition,workload,committed_tx_per_sec,invariant_violation_count,duplicate_commit_count,latency_sample_count,tx_latency_us_p95,adaptive_route_to_occ_count,adaptive_route_to_arbitration_count,adaptive_insufficient_samples_count,oscillation_count
001_phase_change_uniform_to_hot_to_uniform_phase1_low_uniform_read95_rep1,phase_change_uniform_to_hot_to_uniform,1,1,low_uniform_read95,772446.2,0,0,10000,2.0,3862231,0,0,0
002_phase_change_uniform_to_hot_to_uniform_phase1_low_uniform_read95_rep2,phase_change_uniform_to_hot_to_uniform,1,2,low_uniform_read95,827895.4,0,0,10000,2.0,4139477,0,0,0
003_phase_change_uniform_to_hot_to_uniform_phase2_mixed_hot4_write50_rep1,phase_change_uniform_to_hot_to_uniform,2,1,mixed_hot4_write50,314229.2,0,0,10000,2.0,1570774,372,372,4
004_phase_change_uniform_to_hot_to_uniform_phase2_mixed_hot4_write50_rep2,phase_change_uniform_to_hot_to_uniform,2,2,mixed_hot4_write50,330710.2,0,0,10000,2.0,1653185,366,366,4
005_phase_change_uniform_to_hot_to_uniform_phase3_low_uniform_read95_rep1,phase_change_uniform_to_hot_to_uniform,3,1,low_uniform_read95,801520.6,0,0,10000,2.0,4007603,0,0,0
006_phase_change_uniform_to_hot_to_uniform_phase3_low_uniform_read95_rep2,phase_change_uniform_to_hot_to_uniform,3,2,low_uniform_read95,802037.0,0,0,10000,2.0,4010185,0,0,0
007_phase_change_hot1_to_hot16_phase1_high_hot1_write100_rep1,phase_change_hot1_to_hot16,1,1,high_hot1_write100,214101.4,0,0,10000,2.0,1070400,107,107,2
008_phase_change_hot1_to_hot16_phase1_high_hot1_write100_rep2,phase_change_hot1_to_hot16,1,2,high_hot1_write100,215045.2,0,0,10000,2.0,1075126,100,100,1
009_phase_change_hot1_to_hot16_phase2_high_hot16_write100_rep1,phase_change_hot1_to_hot16,2,1,high_hot16_write100,217242.0,0,0,10000,2.0,1085408,802,802,8
010_phase_change_hot1_to_hot16_phase2_high_hot16_write100_rep2,phase_change_hot1_to_hot16,2,2,high_hot16_write100,213804.8,0,0,10000,2.0,1068223,801,801,8
011_phase_change_read_heavy_to_write_heavy_phase1_low_uniform_read95_rep1,phase_change_read_heavy_to_write_heavy,1,1,low_uniform_read95,808858.8,0,0,10000,2.0,4044294,0,0,0
012_phase_change_read_heavy_to_write_heavy_phase1_low_uniform_read95_rep2,phase_change_read_heavy_to_write_heavy,1,2,low_uniform_read95,812851.2,0,0,10000,1.0,4064256,0,0,0
013_phase_change_read_heavy_to_write_heavy_phase2_high_hot16_write100_rep1,phase_change_read_heavy_to_write_heavy,2,1,high_hot16_write100,215280.2,0,0,10000,2.0,1075600,801,801,8
014_phase_change_read_heavy_to_write_heavy_phase2_high_hot16_write100_rep2,phase_change_read_heavy_to_write_heavy,2,2,high_hot16_write100,207421.6,0,0,10000,2.0,1036307,801,801,8
015_phase_change_zipf_low_to_zipf_high_phase1_zipf90_write50_rep1,phase_change_zipf_low_to_zipf_high,1,1,zipf90_write50,151213.0,0,0,10000,3.0,756004,61,5,12
016_phase_change_zipf_low_to_zipf_high_phase1_zipf90_write50_rep2,phase_change_zipf_low_to_zipf_high,1,2,zipf90_write50,152391.2,0,0,10000,3.0,761886,70,70,2
017_phase_change_zipf_low_to_zipf_high_phase2_zipf99_write100_rep1,phase_change_zipf_low_to_zipf_high,2,1,zipf99_write100,115405.4,0,0,10000,2.0,576905,122,119,6
018_phase_change_zipf_low_to_zipf_high_phase2_zipf99_write100_rep2,phase_change_zipf_low_to_zipf_high,2,2,zipf99_write100,115935.8,0,0,10000,3.0,579624,55,55,1
